# x, y positions from /odometry/wheels (rosbag2_2026_04_10-09_19_02)
# Total points: 644
2.677378, -5.314272
2.677816, -5.315083
2.678671, -5.316670
2.680028, -5.319198
2.681923, -5.322741
2.684376, -5.327343
2.687397, -5.333026
2.690974, -5.339775
2.694542, -5.346526
2.698150, -5.353369
2.701905, -5.360519
2.705642, -5.367643
2.709377, -5.374765
2.713131, -5.381910
2.716899, -5.389074
2.720687, -5.396263
2.724484, -5.403459
2.728279, -5.410638
2.732625, -5.418852
2.737484, -5.428030
2.742645, -5.437764
2.748087, -5.448016
2.753669, -5.458524
2.759296, -5.469121
2.764908, -5.479692
2.770525, -5.490284
2.776111, -5.500829
2.781698, -5.511386
2.787271, -5.521920
2.792842, -5.532449
2.798392, -5.542935
2.803900, -5.553343
2.809406, -5.563746
2.814945, -5.574201
2.820452, -5.584581
2.825955, -5.594935
2.831448, -5.605256
2.836954, -5.615589
2.842453, -5.625901
2.847951, -5.636197
2.853454, -5.646486
2.858974, -5.656786
2.864524, -5.667120
2.870057, -5.677402
2.875616, -5.687719
2.881193, -5.698060
2.886782, -5.708413
2.892384, -5.718783
2.898035, -5.729231
2.903694, -5.739683
2.909364, -5.750145
2.915040, -5.760602
2.920704, -5.771023
2.926391, -5.781479
2.932097, -5.791949
2.937818, -5.802416
2.943532, -5.812837
2.949241, -5.823212
2.954959, -5.833567
2.960671, -5.843874
2.966415, -5.854203
2.972177, -5.864527
2.977931, -5.874804
2.983692, -5.885057
2.989440, -5.895261
2.995182, -5.905434
3.000922, -5.915591
3.006666, -5.925751
3.012420, -5.935926
3.018184, -5.946123
3.023933, -5.956304
3.029690, -5.966519
3.035467, -5.976796
3.041237, -5.987086
3.046994, -5.997384
3.052750, -6.007707
3.058530, -6.018100
3.064302, -6.028492
3.070061, -6.038874
3.075802, -6.049233
3.081537, -6.059589
3.087284, -6.069967
3.093000, -6.080285
3.098698, -6.090571
3.104405, -6.100872
3.110122, -6.111186
3.115792, -6.121412
3.121471, -6.131650
3.127155, -6.141890
3.132828, -6.152104
3.138504, -6.162319
3.144172, -6.172516
3.149848, -6.182720
3.155531, -6.192927
3.161199, -6.203095
3.166893, -6.213297
3.172629, -6.223561
3.178376, -6.233831
3.184140, -6.244116
3.189963, -6.254484
3.195833, -6.264903
3.201744, -6.275359
3.207690, -6.285834
3.213684, -6.296349
3.219704, -6.306864
3.225771, -6.317411
3.231883, -6.327989
3.238015, -6.338554
3.244183, -6.349136
3.250373, -6.359716
3.256536, -6.370211
3.262677, -6.380636
3.268817, -6.391038
3.274964, -6.401434
3.281116, -6.411821
3.287263, -6.422187
3.293375, -6.432488
3.299483, -6.442788
3.305543, -6.453019
3.311546, -6.463172
3.317537, -6.473327
3.323536, -6.483521
3.329483, -6.493647
3.335440, -6.503800
3.341378, -6.513941
3.347285, -6.524047
3.353183, -6.534147
3.359067, -6.544222
3.364967, -6.554319
3.370888, -6.564444
3.376799, -6.574543
3.382700, -6.584610
3.388566, -6.594609
3.394437, -6.604608
3.400306, -6.614588
3.406178, -6.624559
3.412036, -6.634493
3.417897, -6.644422
3.423781, -6.654385
3.429659, -6.664329
3.434960, -6.673286
3.439735, -6.681347
3.443952, -6.688468
3.447559, -6.694563
3.450581, -6.699675
3.453018, -6.703800
3.454866, -6.706932
3.456107, -6.709036
3.456743, -6.710115
3.456796, -6.710205
